long,lat,fr,url
16.6708924157177,44.9197047526662,Illyrie,
35.6597434465584,32.7790392284578,Ippo,
44.3164893114105,31.9752735827657,Ischilo ?,
35.2111829790341,32.606941024903,Ismaël ?,
35.1481487183973,31.6254912946426,Israël,
35.8361250542952,33.5903171582453,Iturée,
35.6123129946893,32.3796270250578,Jabes-Galaad,
35.5941654036343,33.0146944302709,"Jacob, l'avare 110.5",
35.179247318569,31.6791821518886,Jardins de Salomon,
35.235593205689,31.7695236652251,Jardins du Roi,
35.2477563769256,32.818397831138,Jiphtaël ?,
35.4151314334027,33.0422071608359,Jonas vieil aubergiste 330,
35.2394321925037,31.7801695372883,Josaphat vallée,
35.2727932384345,32.8386150816249,Jotapate,
35.5859567984857,32.9886069066264,Jude et Anne,
34.9220247704369,31.8769353070283,Jézéron,
35.3058117807487,31.9889445988634,Kafr Malik Les 10 lépreux,
35.5683374842546,32.9001865508872,"Kerazeh, wadi",
